Color,Code,Shade
964 Polar Silver Metallic,#BCBCBC,Silver
Acid Green,#D4EC53,Green
Adria Blue,#B5D3D7,Blue
Adriatic Blue,#236CF2,Blue
Aetna Blue,#74A1AD,Blue
Aga Blue,#16374E,Blue
Agate Grey Metallic,#5A5A5A,Grey
Alaska Blue Metallic,#13657D,Blue
Albert Blue,#0d3872,Blue
Alex Grey,#B2B2B2,Grey
Almond Beige Metallic,#D1BCA8,Beige
Alpine White,#f6f6f6,White
Amaranth Red Metallic,#BC220D,Red
Amaranth Violet,#764283,Purple
Amazon Green Metallic,#0a373c,Green
Amethyst Pearl Effect,#230615,Brown
Anacona Blue Metallic,#4673E5,Blue
Anthracite Metallic,#5F5B5B,Brown
Anthracite Brown Metallic,#322e2c,Brown
Apple Green,#A1D433,Green
Apricot Beige,#F0DCC9,Beige
Aqua Blue Metallic,#093db4,Blue
Aquamarine,#2D5A80,Blue
Aquamarine Blue,#083379,Blue
Aquamarine Metallic,#6880A0,Blue
Arctic Grey,#676464,Grey
Arctic Silver Metallic,#E1E1E1,Silver
Arena Red Metallic,#7c0b26,Red
Arrow Grey Metallic,#E3E3E3,Grey
Arrow Blue,#389ED9,Blue
Ascari Blue Metallic,#13529b,Blue
Ascot Green,#51e051,Green
Atlas Grey Metallic,#535353,Grey
Aubergine,#66093E,Purple
Aubergine Metallic,#430C25,Purple
Auburn Metallic,#7B1010,Red
Auratium Green,#7FC1A1,Green
Aventura Green Metallic,#3d4c45,Green
Aztec Silver,#DEDCDA,Silver
Azure Blue,#1b3a73,Blue
Azure Metallic,#6b93c0,Blue
Azurite Blue,#113868,Blue
Azurro California,#a2bacf,Blue
Azzurrothetys Metallic,#b1cee3,Blue
Bahama Blue,#105cce,Blue
Bahama Blue Metallic,#57789d,Blue
Bahama Yellow,#f2a501,Yellow
Bahia Red,#E50000,Red
Bali Blue,#073779,Blue
Baltic Blue Metallic,#41648a,Blue
Bamboo Beige,#F8E1B2,Beige
Bamboo Metallic,#D6CCBB,Beige
