Color,Code,Shade,Lightness
Luxor Beige Metallic,#7B694C,Beige,0.390196078
Jarama Beige,#AD9A7B,Beige,0.580392157
Cashmere Beige,#D29C5C,Beige,0.592156863
Casablanca Beige Metallic,#DDBA6F,Beige,0.650980392
Ceramic Beige,#DEB28A,Beige,0.705882353
Sand Beige,#D8C193,Beige,0.711764706
Almond Beige Metallic,#D1BCA8,Beige,0.739215686
Gazelle Metallic,#D8CEAD,Beige,0.762745098
Pongee Beige Metallic,#D6B2B2,Beige,0.768627451
Kalahari Beige Metallic,#D5D4B6,Beige,0.774509804
Bamboo Metallic,#D6CCBB,Beige,0.78627451
Mexico Beige,#E8D3AB,Beige,0.790196078
Desert Beige Metallic,#F4ECAB,Beige,0.81372549
Bamboo Beige,#F8E1B2,Beige,0.835294118
Sahara Beige,#FEEAAC,Beige,0.835294118
Cashmere Beige Metallic,#D6D6D6,Beige,0.839215686
Coffee Beige Metallic,#E6DAD1,Beige,0.860784314
Apricot Beige,#F0DCC9,Beige,0.864705882
L E Creamsicle,#FDF9D4,Beige,0.911764706
Pastel Beige,#FAF6EB,Beige,0.950980392
Black,#000000,Black,0
L E Bumble Bee,#030301,Black,0.007843137
Rallye Black,#060000,Black,0.011764706
Black Pearl,#0B0101,Black,0.023529412
Black Pearl Effect,#0b0101,Black,0.023529412
Brilliant Black,#0E0101,Black,0.029411765
Basalt Black Metallic,#03071A,Black,0.056862745
Black Metallic,#0F0E0E,Black,0.056862745
basaltblack,#240606,Black,0.082352941
Montego Black Metallic,#1b1717,Black,0.098039216
Jet Black Metallic,#211B1B,Black,0.117647059
Diamond Black Metallic,#252525,Black,0.145098039
Carbon Black Metallic,#262525,Black,0.147058824
Meteor Metallic,#2D2B2B,Black,0.17254902
Panthero Metallic,#373737,Black,0.215686275
Satin Black Metallic,#444444,Black,0.266666667
Panther Black Metallic,#454545,Black,0.270588235
Midnight Blue Metallic,#0b1628,Blue,0.1
Dark Sea Blue,#111537,Blue,0.141176471
Night Blue,#0B3753,Blue,0.184313725
Aga Blue,#16374E,Blue,0.196078431
Dark Blue,#143754,Blue,0.203921569
Prussian Blue Metallic,#112a57,Blue,0.203921569
Dark Sapphire Metallic,#160e5e,Blue,0.211764706
Venetian Blue Metallic,#054468,Blue,0.21372549
Lapis Blue,#091d66,Blue,0.217647059
Moonlight Blue Pearl,#282a47,Blue,0.217647059
Nautic Metallic,#16335B,Blue,0.221568627
Azurite Blue,#113868,Blue,0.237254902
Albert Blue,#0d3872,Blue,0.249019608
Bali Blue,#073779,Blue,0.250980392
Royal Blue Metallic,#274059,Blue,0.250980392
Aquamarine Blue,#083379,Blue,0.252941176
Dark Blue Metallic,#0e2675,Blue,0.256862745
Ocean Blue Metallic,#142276,Blue,0.270588235
Ultra Blue,#093282,Blue,0.27254902
Petrol Blue Metallic,#0f647d,Blue,0.274509804
Deep Blue Metallic,#234469,Blue,0.274509804
Azure Blue,#1b3a73,Blue,0.278431373
Alaska Blue Metallic,#13657D,Blue,0.282352941
Iris Blue,#0b1a85,Blue,0.282352941
Gentian Blue Metallic,#0d0793,Blue,0.301960784
Golf Blue,#084b98,Blue,0.31372549
Manaus Blue,#0f4d94,Blue,0.319607843
Ocean Blue Early,#345970,Blue,0.321568627
Royal Blue,#0C5E98,Blue,0.321568627
Cobalt Blue Metallic,#114a97,Blue,0.329411765
Graphite Blue Metallic,#3E586A,Blue,0.329411765
Dalmatian Blue,#212188,Blue,0.331372549
Nogaro Blue Metallic,#074da3,Blue,0.333333333
Turquoise Metallic,#236D88,Blue,0.335294118
Pacific Blue Metallic,#375975,Blue,0.337254902
Aquamarine,#2D5A80,Blue,0.339215686
Ascari Blue Metallic,#13529b,Blue,0.341176471
Yatching Blue Metallic,#245E8A,Blue,0.341176471
Marine Blue Metallic,#4c5167,Blue,0.350980392
Steel Blue Metallic,#46556D,Blue,0.350980392
Copenhagen Blue,#38587D,Blue,0.354901961
San Marino Blue Metallic,#2B01B4,Blue,0.354901961
Mauritius Blue,#2D488C,Blue,0.362745098
Pure Blue,#104EAA,Blue,0.364705882
Aqua Blue Metallic,#093db4,Blue,0.370588235
Speedster Blue,#1168B3,Blue,0.384313725
Ossi Blue,#1C4CAE,Blue,0.396078431
Baltic Blue Metallic,#41648a,Blue,0.398039216
Blue Metallic,#2B66A3,Blue,0.403921569
Teal Blue Metallic,#2146B1,Blue,0.411764706
Gulf Blue ( Dark),#1a65ba,Blue,0.415686275
Bahama Blue,#105cce,Blue,0.435294118
Ipanema Blue Metallic,#16adc8,Blue,0.435294118
Sapphire Blue Metallic,#0f87cf,Blue,0.435294118
Club Blau,#0075E1,Blue,0.441176471
Metallic Blue,#277cbd,Blue,0.447058824
Minerva Blue Metallic,#1383DA,Blue,0.464705882
Neptune Blue,#158ADB,Blue,0.470588235
Glacier Blue,#06bdeb,Blue,0.47254902
Oslo Blue,#2E7FC3,Blue,0.47254902
Tahoe Blue Metallic,#2A87C8,Blue,0.474509804
Bahama Blue Metallic,#57789d,Blue,0.478431373
Turquoise Blue,#0A6EF5,Blue,0.5
Miami Blue,#1bbfe8,Blue,0.507843137
Beryll Metallic,#3ACAC8,Blue,0.509803922
Dove Blue Metallic,#587aac,Blue,0.509803922
Riviera Blue,#359bd0,Blue,0.511764706
Zenith Blue Metallic,#565db0,Blue,0.51372549
Aquamarine Metallic,#6880A0,Blue,0.517647059
Estoril Blue Metallic,#3895d0,Blue,0.517647059
Shark Blue,#2491e4,Blue,0.517647059
Voodoo Blue,#2982e0,Blue,0.519607843
Sky Blue,#4297C8,Blue,0.521568627
Eisblau,#71819e,Blue,0.531372549
Arrow Blue,#389ED9,Blue,0.535294118
Monoco Blue,#5781BA,Blue,0.535294118
Adriatic Blue,#236CF2,Blue,0.543137255
Blue Turquoise,#2ba4f1,Blue,0.556862745
Aetna Blue,#74A1AD,Blue,0.566666667
Gemini Blue Metallic,#35a6f2,Blue,0.578431373
Mexico Blue,#3dbded,Blue,0.584313725
Anacona Blue Metallic,#4673E5,Blue,0.58627451
Azure Metallic,#6b93c0,Blue,0.58627451
Venice Blue Metallic,#8A9FAA,Blue,0.603921569
Maritime Blue,#4B77EA,Blue,0.605882353
Pastel Blue,#4DB3ED,Blue,0.615686275
Turquoise,#72C7CE,Blue,0.62745098
Biscay Blue Metallic,#97acb7,Blue,0.654901961
Olympic Blue,#64CAF5,Blue,0.676470588
Marathone Blue Metallic,#9abfc7,Blue,0.692156863
Slate Blue Metallic,#a3aebe,Blue,0.692156863
Laguna Blue,#7DCDE7,Blue,0.698039216
Iris Blue Metallic,#9BBACC,Blue,0.703921569
Light Blue Metallic,#9DC0CC,Blue,0.707843137
Horizon Blue Metallic,#87B2E8,Blue,0.719607843
Azurro California,#a2bacf,Blue,0.723529412
Schiefer,#A6C3CD,Blue,0.72745098
Polar Blue Metallic,#ACC1C9,Blue,0.731372549
Fish Silver Grey,#AABECF,Blue,0.739215686
Gulf Blue,#96D0E5,Blue,0.743137255
Sapphire Metallic,#BEBEBE,Blue,0.745098039
Frozen Blue Metallic,#a5c5d9,Blue,0.749019608
Ice Blue Metallic,#A8C3DA,Blue,0.756862745
Adria Blue,#B5D3D7,Blue,0.776470588
Azzurrothetys Metallic,#b1cee3,Blue,0.792156863
Crystal Blue,#a6e9ef,Blue,0.794117647
Meissen Blue,#BFD7E2,Blue,0.817647059
Glacier Metallic,#c5d9dd,Blue,0.819607843
Coppa Florio Blue,#b4e2f7,Blue,0.837254902
Fountain Blue Metallic,#ced6fb,Blue,0.896078431
Diamond Blue Metallic,#dfe1f1,Blue,0.909803922
Liquid Metal Chrome Blue,#E3E0F8,Blue,0.925490196
Glacier Blue ( Light),#eaf8f7,Blue,0.945098039
Amethyst Pearl Effect,#230615,Brown,0.080392157
Chocolate Brown,#261105,Brown,0.084313725
Mahogany Metallic,#3C0606,Brown,0.129411765
Espresso Brown Metallic,#2F2214,Brown,0.131372549
Mocha Black,#331E12,Brown,0.135294118
Togo Brown,#3C1F0C,Brown,0.141176471
Coffee Brown,#412810,Brown,0.158823529
Cherry Black Metallic,#342424,Brown,0.17254902
Anthracite Brown Metallic,#322e2c,Brown,0.184313725
Mahogany Brown,#512F0F,Brown,0.188235294
Macadamia Metallic,#3D2A24,Brown,0.190196078
Nutmeg Brown Metallic,#61330B,Brown,0.211764706
Truffle Brown Metallic,#5A341A,Brown,0.22745098
Chestnut Brown Metallic,#474133,Brown,0.239215686
Grey Black,#464242,Brown,0.266666667
Sable Brown,#534138,Brown,0.27254902
Brown Metallic,#5C4836,Brown,0.28627451
Sepia Brown,#905508,Brown,0.298039216
Cognac Brown Metallic,#824C20,Brown,0.317647059
Copper Brown Metallic,#745330,Brown,0.321568627
Ristretto Brown Metallic,#5D5650,Brown,0.339215686
Bitter Chocolate,#A3580D,Brown,0.345098039
Rosewood Metallic,#694E4E,Brown,0.358823529
Anthracite Metallic,#5F5B5B,Brown,0.364705882
Tobacco Metallic,#816F43,Brown,0.384313725
Titan Metallic,#6A6161,Brown,0.398039216
Copper Metallic,#C96021,Brown,0.458823529
Umbra,#9D8573,Brown,0.533333333
Nougat Brown Metallic,#BF9570,Brown,0.594117647
Caramel Brown,#D6925B,Brown,0.598039216
Cognac Metallic,#C3926E,Brown,0.598039216
Opal Metallic,#C2B378,Brown,0.615686275
Copper Bronze Metallic,#BBAB99,Brown,0.666666667
Terra Cotta,#DFA687,Brown,0.701960784
Light Bronze Metallic,#DCD5B7,Brown,0.790196078
Topaz Brown Metallic,#E6DCC4,Brown,0.835294118
Gold Metallic,#E5AC00,Gold,0.449019608
